Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SMARTINDONASIA_API_SmokeTest,,,,2019-09-23 20:50:57,2019-09-23 20:51:05,8.347s,INCOMPLETE
,,,,,,,
Test Cases/a.ValidateMobileNumber_Test,,,,2019-09-23 20:50:57,2019-09-23 20:51:01,3.334s,PASSED
"sendRequest(findTestObject(""aValidate Mobile Number"", [""protocal"":Endpoint]))",,,,2019-09-23 20:50:58,2019-09-23 20:51:00,1.848s,PASSED
"response = sendRequestAndVerify(findTestObject(""aValidate Mobile Number"", [""protocal"":Endpoint]))",,,,2019-09-23 20:51:00,2019-09-23 20:51:01,0.982s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,2019-09-23 20:51:01,2019-09-23 20:51:01,0.001s,PASSED
result = slurper.parseText(response.getResponseText()),,,,2019-09-23 20:51:01,2019-09-23 20:51:01,0.020s,PASSED
"println(""***************************************"")",,,,2019-09-23 20:51:01,2019-09-23 20:51:01,0.009s,PASSED
"println(""THIS IS THE RESPONSE FROM VALIDATEMOBILENUMBER TEST CASE = "" + result)",,,,2019-09-23 20:51:01,2019-09-23 20:51:01,0.005s,PASSED
"println(""***************************************"")",,,,2019-09-23 20:51:01,2019-09-23 20:51:01,0.005s,PASSED
value = uniqueTokenCode,,,,2019-09-23 20:51:01,2019-09-23 20:51:01,0.019s,PASSED
println(value),,,,2019-09-23 20:51:01,2019-09-23 20:51:01,0.001s,PASSED
uniquetoken = value,,,,2019-09-23 20:51:01,2019-09-23 20:51:01,0.002s,PASSED
"println(""***************************************"")",,,,2019-09-23 20:51:01,2019-09-23 20:51:01,0.006s,PASSED
"println(""UNIQ TOKEN ID IS GENARATED  = "" + uniquetoken)",,,,2019-09-23 20:51:01,2019-09-23 20:51:01,0.003s,PASSED
"println(""***************************************"")",,,,2019-09-23 20:51:01,2019-09-23 20:51:01,0.001s,PASSED
,,,,,,,
Test Cases/aValidate_OTPTest,,,,2019-09-23 20:51:01,2019-09-23 20:51:02,1.007s,PASSED
"sendRequest(findTestObject(""aValidate OTP"", [""uniqueToken"":uniquetoken, ""userId"":userid]))",,,,2019-09-23 20:51:01,2019-09-23 20:51:01,0.225s,PASSED
