Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SMARTINDONASIA_API_SmokeTest,,,,2019-09-12 16:40:06,2019-09-12 16:40:25,18.682s,INCOMPLETE
,,,,,,,
Test Cases/a.ValidateMobileNumberTest,,,,2019-09-12 16:40:06,2019-09-12 16:40:11,5.230s,PASSED
"response = sendRequestAndVerify(findTestObject(""avalidate_mobile_number""))",,,,2019-09-12 16:40:07,2019-09-12 16:40:11,4.654s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,2019-09-12 16:40:11,2019-09-12 16:40:11,0.009s,PASSED
result = slurper.parseText(response.getResponseText()),,,,2019-09-12 16:40:11,2019-09-12 16:40:11,0.021s,PASSED
"println(""***************************************"")",,,,2019-09-12 16:40:11,2019-09-12 16:40:11,0.016s,PASSED
"println(""THIS IS THE RESPONSE FROM VALIDATEMOBILENUMBER TEST CASE = "" + result)",,,,2019-09-12 16:40:11,2019-09-12 16:40:11,0.004s,PASSED
"println(""***************************************"")",,,,2019-09-12 16:40:11,2019-09-12 16:40:11,0.004s,PASSED
value = uniqueTokenCode,,,,2019-09-12 16:40:11,2019-09-12 16:40:11,0.008s,PASSED
println(value),,,,2019-09-12 16:40:11,2019-09-12 16:40:11,0.002s,PASSED
uniquetoken = value,,,,2019-09-12 16:40:11,2019-09-12 16:40:11,0.002s,PASSED
"println(""***************************************"")",,,,2019-09-12 16:40:11,2019-09-12 16:40:11,0.002s,PASSED
"println(""UNIQ TOKEN ID IS GENARATED  = "" + uniquetoken)",,,,2019-09-12 16:40:11,2019-09-12 16:40:11,0.002s,PASSED
"println(""***************************************"")",,,,2019-09-12 16:40:11,2019-09-12 16:40:11,0.001s,PASSED
,,,,,,,
Test Cases/aValidate_OTPTest,,,,2019-09-12 16:40:12,2019-09-12 16:40:14,2.032s,PASSED
"sendRequestAndVerify(findTestObject(""avalidate_OTP"", [""uniqueToken"":uniquetoken, ""userId"":userid]))",,,,2019-09-12 16:40:12,2019-09-12 16:40:13,0.741s,PASSED
"response1 = sendRequestAndVerify(findTestObject(""avalidate_mobile_number""))",,,,2019-09-12 16:40:13,2019-09-12 16:40:14,0.912s,PASSED
slurper1 = new groovy.json.JsonSlurper(),,,,2019-09-12 16:40:14,2019-09-12 16:40:14,0.001s,PASSED
result1 = slurper1.parseText(response1.getResponseText()),,,,2019-09-12 16:40:14,2019-09-12 16:40:14,0.001s,PASSED
"println(""***************************************"")",,,,2019-09-12 16:40:14,2019-09-12 16:40:14,0.001s,PASSED
"println(""THIS IS THE RESPONSE FROM VALIDATEOTP TEST CASE = "" + result1)",,,,2019-09-12 16:40:14,2019-09-12 16:40:14,0.001s,PASSED
"println(""***************************************"")",,,,2019-09-12 16:40:14,2019-09-12 16:40:14,0.001s,PASSED
value1 = userId,,,,2019-09-12 16:40:14,2019-09-12 16:40:14,0.001s,PASSED
userid = value1,,,,2019-09-12 16:40:14,2019-09-12 16:40:14,0.001s,PASSED
"println(""***************************************"")",,,,2019-09-12 16:40:14,2019-09-12 16:40:14,0.001s,PASSED
"println(""THE USER ID IS GENARATED  = "" + userid)",,,,2019-09-12 16:40:14,2019-09-12 16:40:14,0.001s,PASSED
"println(""***************************************"")",,,,2019-09-12 16:40:14,2019-09-12 16:40:14,0.000s,PASSED
,,,,,,,
Test Cases/bInsertUser_CheckIn,,,,2019-09-12 16:40:14,2019-09-12 16:40:14,0.920s,PASSED
chkInID = toString().toUpperCase(),,,,2019-09-12 16:40:14,2019-09-12 16:40:14,0.011s,PASSED
println(chkInID),,,,2019-09-12 16:40:14,2019-09-12 16:40:14,0.002s,PASSED
now = new java.util.Date(),,,,2019-09-12 16:40:14,2019-09-12 16:40:14,0.007s,PASSED
"chkInTime = now.format(""dd-MM-YYYY HH:mm:ss +5:30"")",,,,2019-09-12 16:40:14,2019-09-12 16:40:14,0.004s,PASSED
println(chkInTime),,,,2019-09-12 16:40:14,2019-09-12 16:40:14,0.002s,PASSED
"resp3 = sendRequest(findTestObject(""bInsertUserCheckIn"", [""uniqueToken"":uniquetoken, ""userId"":userid, ""checkInTime"":chkInTime, ""checkInID"":chkInID, ""checkinLocality"":checkinLocality]))",,,,2019-09-12 16:40:14,2019-09-12 16:40:14,0.455s,PASSED
slurper3 = new groovy.json.JsonSlurper(),,,,2019-09-12 16:40:14,2019-09-12 16:40:14,0.001s,PASSED
result3 = slurper3.parseText(resp3.getResponseText()),,,,2019-09-12 16:40:14,2019-09-12 16:40:14,0.000s,PASSED
"println(""***************************************
"")",,,,2019-09-12 16:40:14,2019-09-12 16:40:14,0.001s,PASSED
"println(""THIS IS THE RESPONSE FROM USER_CHECKIN TEST CASE = "" + result3)",,,,2019-09-12 16:40:14,2019-09-12 16:40:14,0.001s,PASSED
"println(""***************************************
"")",,,,2019-09-12 16:40:14,2019-09-12 16:40:14,0.001s,PASSED
"toString().split(chkInID, 0)",,,,2019-09-12 16:40:14,2019-09-12 16:40:14,0.005s,PASSED
"value3 = toString().substring(11, 47)",,,,2019-09-12 16:40:14,2019-09-12 16:40:14,0.002s,PASSED
println(value3),,,,2019-09-12 16:40:14,2019-09-12 16:40:14,0.001s,PASSED
"println(""THE CHECKIN  iD IS   = "" + value3)",,,,2019-09-12 16:40:14,2019-09-12 16:40:14,0.001s,PASSED
f = new java.io.File(D:\Checkin_ID.txt),,,,2019-09-12 16:40:14,2019-09-12 16:40:14,0.001s,PASSED
f.write(value3),,,,2019-09-12 16:40:14,2019-09-12 16:40:14,0.006s,PASSED
,,,,,,,
Test Cases/bUpdateUser_CheckIn,,,,2019-09-12 16:40:15,2019-09-12 16:40:15,0.636s,PASSED
file3 = new java.io.File(D:\Checkin_ID.txt),,,,2019-09-12 16:40:15,2019-09-12 16:40:15,0.001s,PASSED
checkinID = file3.readLines(),,,,2019-09-12 16:40:15,2019-09-12 16:40:15,0.007s,PASSED
"println(""-------------->"" + checkinID)",,,,2019-09-12 16:40:15,2019-09-12 16:40:15,0.001s,PASSED
now1 = new java.util.Date(),,,,2019-09-12 16:40:15,2019-09-12 16:40:15,0.001s,PASSED
"chkOutTime = now1.format(""dd-MM-YYYY HH:mm:ss +5:30"")",,,,2019-09-12 16:40:15,2019-09-12 16:40:15,0.001s,PASSED
println(chkOutTime),,,,2019-09-12 16:40:15,2019-09-12 16:40:15,0.001s,PASSED
"resp4 = sendRequest(findTestObject(""bUpdateUserCheckIn"", [""uniqueToken"":uniquetoken, ""userId"":userid, ""checkinID"":checkinID, ""checkedOutTime"":chkOutTime]))",,,,2019-09-12 16:40:15,2019-09-12 16:40:15,0.306s,PASSED
,,,,,,,
Test Cases/cInsertTripDetailsTest,,,,2019-09-12 16:40:15,2019-09-12 16:40:17,1.655s,PASSED
"sendRequestAndVerify(findTestObject(""avalidate_OTP"", [""uniqueToken"":uniquetoken, ""userId"":userid]))",,,,2019-09-12 16:40:16,2019-09-12 16:40:16,0.809s,PASSED
triPID = toString().toUpperCase(),,,,2019-09-12 16:40:16,2019-09-12 16:40:16,0.001s,PASSED
println(triPID),,,,2019-09-12 16:40:16,2019-09-12 16:40:16,0.001s,PASSED
now = new java.util.Date(),,,,2019-09-12 16:40:16,2019-09-12 16:40:16,0.000s,PASSED
"tiMe = now.format(""dd-MM-YYYY HH:mm:ss +5:30"")",,,,2019-09-12 16:40:16,2019-09-12 16:40:16,0.001s,PASSED
println(tiMe),,,,2019-09-12 16:40:16,2019-09-12 16:40:16,0.002s,PASSED
"resp2 = sendRequest(findTestObject(""cinsert_trip_detail"", [""uniqueToken"":uniquetoken, ""userId"":userid, ""tripid"":triPID, ""startriptime"":tiMe, ""startripLocality"":startripLocality]))",,,,2019-09-12 16:40:16,2019-09-12 16:40:17,0.444s,PASSED
slurper2 = new groovy.json.JsonSlurper(),,,,2019-09-12 16:40:17,2019-09-12 16:40:17,0.001s,PASSED
result2 = slurper2.parseText(resp2.getResponseText()),,,,2019-09-12 16:40:17,2019-09-12 16:40:17,0.002s,PASSED
"println(""***************************************
"")",,,,2019-09-12 16:40:17,2019-09-12 16:40:17,0.002s,PASSED
"println(""THIS IS THE RESPONSE FROM INSERT TRIP DETAILS  TEST CASE = "" + result2)",,,,2019-09-12 16:40:17,2019-09-12 16:40:17,0.001s,PASSED
"println(""***************************************
"")",,,,2019-09-12 16:40:17,2019-09-12 16:40:17,0.001s,PASSED
"toString().split(triPID, 0)",,,,2019-09-12 16:40:17,2019-09-12 16:40:17,0.002s,PASSED
"value2 = toString().substring(25, 61)",,,,2019-09-12 16:40:17,2019-09-12 16:40:17,0.001s,PASSED
println(value2),,,,2019-09-12 16:40:17,2019-09-12 16:40:17,0.002s,PASSED
"println(""THE TRIP iD IS   = "" + value2)",,,,2019-09-12 16:40:17,2019-09-12 16:40:17,0.001s,PASSED
f = new java.io.File(D:\InsertTripDetails_ID.txt),,,,2019-09-12 16:40:17,2019-09-12 16:40:17,0.001s,PASSED
f.write(value2),,,,2019-09-12 16:40:17,2019-09-12 16:40:17,0.006s,PASSED
,,,,,,,
Test Cases/cUpdateTripDetails,,,,2019-09-12 16:40:17,2019-09-12 16:40:18,0.821s,PASSED
file1 = new java.io.File(D:\InsertTripDetails_ID.txt),,,,2019-09-12 16:40:17,2019-09-12 16:40:17,0.001s,PASSED
triPID = file1.readLines(),,,,2019-09-12 16:40:17,2019-09-12 16:40:17,0.003s,PASSED
"println(""-------------->"" + triPID)",,,,2019-09-12 16:40:17,2019-09-12 16:40:17,0.001s,PASSED
"sendRequest(findTestObject(""avalidate_OTP"", [""uniqueToken"":uniquetoken, ""userId"":userid]))",,,,2019-09-12 16:40:17,2019-09-12 16:40:17,0.216s,PASSED
"sendRequest(findTestObject(""cupdate_trip_detail"", [""uptripiD"":triPID, ""userId"":userid]))",,,,2019-09-12 16:40:17,2019-09-12 16:40:18,0.267s,PASSED
,,,,,,,
Test Cases/d.VersionMaster,,,,2019-09-12 16:40:18,2019-09-12 16:40:18,0.851s,PASSED
"sendRequestAndVerify(findTestObject(""d.version-master"", [""uniqueToken"":uniquetoken]))",,,,2019-09-12 16:40:18,2019-09-12 16:40:18,0.579s,PASSED
,,,,,,,
Test Cases/dLeave-Type,,,,2019-09-12 16:40:19,2019-09-12 16:40:20,1.072s,PASSED
"sendRequestAndVerify(findTestObject(""eLeave-Type"", [""versiontableId"":versiontableId, ""userId"":userid, ""uniqueToken"":uniquetoken]))",,,,2019-09-12 16:40:19,2019-09-12 16:40:20,0.792s,PASSED
,,,,,,,
Test Cases/eLeave Application,,,,2019-09-12 16:40:20,2019-09-12 16:40:21,0.996s,PASSED
"sendRequestAndVerify(findTestObject(""eLeave-Application"", [""leavetypeId"":leavetypeId, ""fromdaTe"":fromdaTe, ""todaTe"":todaTe, ""commenTs"":commenTs, ""userId"":userid, ""uniqueToken"":uniquetoken]))",,,,2019-09-12 16:40:20,2019-09-12 16:40:21,0.741s,PASSED
,,,,,,,
Test Cases/eLeaveCancelApplicationTest,,,,2019-09-12 16:40:21,2019-09-12 16:40:22,0.983s,PASSED
"sendRequestAndVerify(findTestObject(""eleave-cancel-application"", [""userId"":userid, ""uniqueToken"":uniquetoken, ""fromdaTe"":fromdaTe, ""todaTe"":todaTe]))",,,,2019-09-12 16:40:21,2019-09-12 16:40:22,0.659s,PASSED
,,,,,,,
Test Cases/gCropMasterTest,,,,2019-09-12 16:40:22,2019-09-12 16:40:23,1.057s,PASSED
"sendRequestAndVerify(findTestObject(""gCrop-Master"", [""versiontableId"":versiontableId, ""userId"":userid, ""uniqueToken"":uniquetoken]))",,,,2019-09-12 16:40:22,2019-09-12 16:40:23,0.728s,PASSED
,,,,,,,
Test Cases/hProductMaster,,,,2019-09-12 16:40:23,2019-09-12 16:40:24,0.932s,PASSED
"sendRequestAndVerify(findTestObject(""iUser_Crop_Product"", [""versiontableId"":"""", ""userId"":userid, ""uniqueToken"":uniquetoken]))",,,,2019-09-12 16:40:23,2019-09-12 16:40:24,0.699s,PASSED
,,,,,,,
Test Cases/iUserCropProduct,,,,2019-09-12 16:40:24,2019-09-12 16:40:25,0.935s,PASSED
"sendRequestAndVerify(findTestObject(""iUser_Crop_Product"", [""versiontableId"":"""", ""userId"":userid, ""uniqueToken"":uniquetoken]))",,,,2019-09-12 16:40:24,2019-09-12 16:40:25,0.705s,PASSED
