Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SMARTINDONASIA_API_SmokeTest,,,,2019-09-10 22:01:28,2019-09-10 22:01:39,10.891s,INCOMPLETE
,,,,,,,
Test Cases/a.ValidateMobileNumberTest,,,,2019-09-10 22:01:28,2019-09-10 22:01:32,3.435s,PASSED
"response = sendRequestAndVerify(findTestObject(""avalidate_mobile_number""))",,,,2019-09-10 22:01:28,2019-09-10 22:01:31,2.943s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,2019-09-10 22:01:31,2019-09-10 22:01:31,0.009s,PASSED
result = slurper.parseText(response.getResponseText()),,,,2019-09-10 22:01:31,2019-09-10 22:01:31,0.010s,PASSED
"println(""***************************************"")",,,,2019-09-10 22:01:31,2019-09-10 22:01:31,0.023s,PASSED
"println(""THIS IS THE RESPONSE FROM VALIDATEMOBILENUMBER TEST CASE = "" + result)",,,,2019-09-10 22:01:31,2019-09-10 22:01:31,0.000s,PASSED
"println(""***************************************"")",,,,2019-09-10 22:01:31,2019-09-10 22:01:31,0.000s,PASSED
value = uniqueTokenCode,,,,2019-09-10 22:01:31,2019-09-10 22:01:32,0.010s,PASSED
println(value),,,,2019-09-10 22:01:32,2019-09-10 22:01:32,0.000s,PASSED
uniquetoken = value,,,,2019-09-10 22:01:32,2019-09-10 22:01:32,0.000s,PASSED
"println(""***************************************"")",,,,2019-09-10 22:01:32,2019-09-10 22:01:32,0.000s,PASSED
"println(""UNIQ TOKEN ID IS GENARATED  = "" + uniquetoken)",,,,2019-09-10 22:01:32,2019-09-10 22:01:32,0.010s,PASSED
"println(""***************************************"")",,,,2019-09-10 22:01:32,2019-09-10 22:01:32,0.000s,PASSED
,,,,,,,
Test Cases/aValidate_OTPTest,,,,2019-09-10 22:01:32,2019-09-10 22:01:33,1.881s,PASSED
"sendRequestAndVerify(findTestObject(""avalidate_OTP"", [""uniqueToken"":uniquetoken, ""userId"":userid]))",,,,2019-09-10 22:01:32,2019-09-10 22:01:33,0.845s,PASSED
"response1 = sendRequestAndVerify(findTestObject(""avalidate_mobile_number""))",,,,2019-09-10 22:01:33,2019-09-10 22:01:33,0.674s,PASSED
slurper1 = new groovy.json.JsonSlurper(),,,,2019-09-10 22:01:33,2019-09-10 22:01:33,0.001s,PASSED
result1 = slurper1.parseText(response1.getResponseText()),,,,2019-09-10 22:01:33,2019-09-10 22:01:33,0.001s,PASSED
"println(""***************************************"")",,,,2019-09-10 22:01:33,2019-09-10 22:01:33,0.001s,PASSED
