Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SMARTINDONASIA_API_SmokeTest,,,,2019-09-25 18:42:55,2019-09-25 18:43:04,8.688s,INCOMPLETE
,,,,,,,
Test Cases/a.ValidateMobileNumber_Test,,,,2019-09-25 18:42:55,2019-09-25 18:43:00,4.181s,PASSED
"sendRequest(findTestObject(""aValidate Mobile Number"", [""protocal"":Endpoint]))",,,,2019-09-25 18:42:56,2019-09-25 18:42:58,2.552s,PASSED
"response = sendRequestAndVerify(findTestObject(""aValidate Mobile Number"", [""protocal"":Endpoint]))",,,,2019-09-25 18:42:58,2019-09-25 18:42:59,1.142s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,2019-09-25 18:42:59,2019-09-25 18:42:59,0.010s,PASSED
result = slurper.parseText(response.getResponseText()),,,,2019-09-25 18:42:59,2019-09-25 18:42:59,0.011s,PASSED
"println(""***************************************"")",,,,2019-09-25 18:42:59,2019-09-25 18:42:59,0.009s,PASSED
"println(""THIS IS THE RESPONSE FROM VALIDATEMOBILENUMBER TEST CASE = "" + result)",,,,2019-09-25 18:42:59,2019-09-25 18:42:59,0.004s,PASSED
"println(""***************************************"")",,,,2019-09-25 18:42:59,2019-09-25 18:42:59,0.005s,PASSED
value = uniqueTokenCode,,,,2019-09-25 18:42:59,2019-09-25 18:42:59,0.008s,PASSED
println(value),,,,2019-09-25 18:42:59,2019-09-25 18:42:59,0.001s,PASSED
uniquetoken = value,,,,2019-09-25 18:42:59,2019-09-25 18:42:59,0.001s,PASSED
"println(""***************************************"")",,,,2019-09-25 18:42:59,2019-09-25 18:42:59,0.002s,PASSED
"println(""UNIQ TOKEN ID IS GENARATED  = "" + uniquetoken)",,,,2019-09-25 18:42:59,2019-09-25 18:43:00,0.002s,PASSED
"println(""***************************************"")",,,,2019-09-25 18:43:00,2019-09-25 18:43:00,0.001s,PASSED
,,,,,,,
Test Cases/aValidate_OTPTest,,,,2019-09-25 18:43:00,2019-09-25 18:43:01,1.727s,PASSED
"sendRequest(findTestObject(""aValidate OTP"", [""uniqueToken"":uniquetoken, ""userId"":userid]))",,,,2019-09-25 18:43:00,2019-09-25 18:43:00,0.435s,PASSED
"response1 = sendRequest(findTestObject(""aValidate Mobile Number""))",,,,2019-09-25 18:43:00,2019-09-25 18:43:01,0.910s,PASSED
slurper1 = new groovy.json.JsonSlurper(),,,,2019-09-25 18:43:01,2019-09-25 18:43:01,0.002s,PASSED
