Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SMARTINDONASIA_API_SmokeTest,,,,2019-08-30 19:29:14,2019-08-30 19:29:23,8.990s,INCOMPLETE
,,,,,,,
Test Cases/aValidateMobileNumberTest,,,,2019-08-30 19:29:15,2019-08-30 19:29:18,2.995s,PASSED
"response = sendRequestAndVerify(findTestObject(""validate_mobile_number""))",,,,2019-08-30 19:29:15,2019-08-30 19:29:18,2.497s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,2019-08-30 19:29:18,2019-08-30 19:29:18,0.010s,PASSED
result = slurper.parseText(response.getResponseText()),,,,2019-08-30 19:29:18,2019-08-30 19:29:18,0.020s,PASSED
"println(""***************************************"")",,,,2019-08-30 19:29:18,2019-08-30 19:29:18,0.004s,PASSED
"println(""THIS IS THE RESPONSE FROM VALIDATEMOBILENUMBER TEST CASE = "" + result)",,,,2019-08-30 19:29:18,2019-08-30 19:29:18,0.003s,PASSED
"println(""***************************************"")",,,,2019-08-30 19:29:18,2019-08-30 19:29:18,0.001s,PASSED
value = uniqueTokenCode,,,,2019-08-30 19:29:18,2019-08-30 19:29:18,0.009s,PASSED
println(value),,,,2019-08-30 19:29:18,2019-08-30 19:29:18,0.001s,PASSED
uniquetoken = value,,,,2019-08-30 19:29:18,2019-08-30 19:29:18,0.002s,PASSED
"println(""***************************************"")",,,,2019-08-30 19:29:18,2019-08-30 19:29:18,0.002s,PASSED
"println(""UNIQ TOKEN ID IS GENARATED  = "" + uniquetoken)",,,,2019-08-30 19:29:18,2019-08-30 19:29:18,0.002s,PASSED
"println(""***************************************"")",,,,2019-08-30 19:29:18,2019-08-30 19:29:18,0.002s,PASSED
,,,,,,,
Test Cases/bValidate_OTPTest,,,,2019-08-30 19:29:18,2019-08-30 19:29:19,1.218s,PASSED
"sendRequest(findTestObject(""validate_OTP"", [""uniqueToken"":uniquetoken, ""userId"":userid]))",,,,2019-08-30 19:29:18,2019-08-30 19:29:18,0.317s,PASSED
"response1 = sendRequestAndVerify(findTestObject(""validate_mobile_number""))",,,,2019-08-30 19:29:18,2019-08-30 19:29:19,0.579s,PASSED
slurper1 = new groovy.json.JsonSlurper(),,,,2019-08-30 19:29:19,2019-08-30 19:29:19,0.002s,PASSED
result1 = slurper1.parseText(response1.getResponseText()),,,,2019-08-30 19:29:19,2019-08-30 19:29:19,0.001s,PASSED
"println(""***************************************"")",,,,2019-08-30 19:29:19,2019-08-30 19:29:19,0.001s,PASSED
"println(""THIS IS THE RESPONSE FROM VALIDATEOTP TEST CASE = "" + result1)",,,,2019-08-30 19:29:19,2019-08-30 19:29:19,0.001s,PASSED
"println(""***************************************"")",,,,2019-08-30 19:29:19,2019-08-30 19:29:19,0.001s,PASSED
value1 = userId,,,,2019-08-30 19:29:19,2019-08-30 19:29:19,0.000s,PASSED
userid = value1,,,,2019-08-30 19:29:19,2019-08-30 19:29:19,0.001s,PASSED
"println(""***************************************"")",,,,2019-08-30 19:29:19,2019-08-30 19:29:19,0.001s,PASSED
"println(""THE USER ID IS GENARATED  = "" + userid)",,,,2019-08-30 19:29:19,2019-08-30 19:29:19,0.001s,PASSED
"println(""***************************************"")",,,,2019-08-30 19:29:19,2019-08-30 19:29:19,0.001s,PASSED
,,,,,,,
Test Cases/cInsertTripDetailsTest (MI),,,,2019-08-30 19:29:19,2019-08-30 19:29:22,3.189s,PASSED
"sendRequest(findTestObject(""validate_OTP"", [""uniqueToken"":uniquetoken, ""userId"":userid]))",,,,2019-08-30 19:29:19,2019-08-30 19:29:19,0.213s,PASSED
triPID = toString().toUpperCase(),,,,2019-08-30 19:29:19,2019-08-30 19:29:19,0.007s,PASSED
println(triPID),,,,2019-08-30 19:29:19,2019-08-30 19:29:19,0.001s,PASSED
now = new java.util.Date(),,,,2019-08-30 19:29:19,2019-08-30 19:29:19,0.008s,PASSED
"tiMe = now.format(""dd:MM:YYYY-HH:mm:ss +5:30"")",,,,2019-08-30 19:29:19,2019-08-30 19:29:19,0.004s,PASSED
println(tiMe),,,,2019-08-30 19:29:19,2019-08-30 19:29:19,0.001s,PASSED
"resp2 = sendRequest(findTestObject(""insert_trip_detail"", [""uniqueToken"":uniquetoken, ""userId"":userid, ""tripid"":triPID, ""startriptime"":tiMe, ""startripLocality"":startripLocality]))",,,,2019-08-30 19:29:22,2019-08-30 19:29:22,0.182s,PASSED
slurper2 = new groovy.json.JsonSlurper(),,,,2019-08-30 19:29:22,2019-08-30 19:29:22,0.001s,PASSED
result2 = slurper2.parseText(resp2.getResponseText()),,,,2019-08-30 19:29:22,2019-08-30 19:29:22,0.001s,PASSED
"println(""***************************************
"")",,,,2019-08-30 19:29:22,2019-08-30 19:29:22,0.002s,PASSED
"println(""THIS IS THE RESPONSE FROM INSERT TRIP DETAILS  TEST CASE = "" + result2)",,,,2019-08-30 19:29:22,2019-08-30 19:29:22,0.002s,PASSED
"println(""***************************************
"")",,,,2019-08-30 19:29:22,2019-08-30 19:29:22,0.001s,PASSED
value2 = userId,,,,2019-08-30 19:29:22,2019-08-30 19:29:22,0.001s,PASSED
println(value2),,,,2019-08-30 19:29:22,2019-08-30 19:29:22,0.007s,PASSED
userid = value2,,,,2019-08-30 19:29:22,2019-08-30 19:29:22,0.003s,PASSED
,,,,,,,
Test Cases/dUpdateTripDetails,,,,2019-08-30 19:29:22,2019-08-30 19:29:23,0.970s,ERROR
"sendRequest(findTestObject(""validate_OTP"", [""uniqueToken"":uniquetoken, ""userId"":userid]))",,,,2019-08-30 19:29:23,2019-08-30 19:29:23,0.206s,PASSED
"resp3 = sendRequest(findTestObject(""insert_trip_detail""))",,,,2019-08-30 19:29:23,2019-08-30 19:29:23,0.255s,PASSED
slurper3 = new groovy.json.JsonSlurper(),,,,2019-08-30 19:29:23,2019-08-30 19:29:23,0.000s,PASSED
result3 = slurper3.parseText(resp3.getBodyContent()),,,,2019-08-30 19:29:23,2019-08-30 19:29:23,0.004s,PASSED
