Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SMARTINDONASIA_API_SmokeTest,,,,2019-09-11 21:54:45,2019-09-11 21:55:02,17.014s,INCOMPLETE
,,,,,,,
Test Cases/a.ValidateMobileNumberTest,,,,2019-09-11 21:54:46,2019-09-11 21:54:51,5.084s,PASSED
"response = sendRequestAndVerify(findTestObject(""avalidate_mobile_number""))",,,,2019-09-11 21:54:46,2019-09-11 21:54:51,4.478s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,2019-09-11 21:54:51,2019-09-11 21:54:51,0.010s,PASSED
result = slurper.parseText(response.getResponseText()),,,,2019-09-11 21:54:51,2019-09-11 21:54:51,0.022s,PASSED
"println(""***************************************"")",,,,2019-09-11 21:54:51,2019-09-11 21:54:51,0.007s,PASSED
"println(""THIS IS THE RESPONSE FROM VALIDATEMOBILENUMBER TEST CASE = "" + result)",,,,2019-09-11 21:54:51,2019-09-11 21:54:51,0.006s,PASSED
"println(""***************************************"")",,,,2019-09-11 21:54:51,2019-09-11 21:54:51,0.006s,PASSED
value = uniqueTokenCode,,,,2019-09-11 21:54:51,2019-09-11 21:54:51,0.029s,PASSED
println(value),,,,2019-09-11 21:54:51,2019-09-11 21:54:51,0.005s,PASSED
uniquetoken = value,,,,2019-09-11 21:54:51,2019-09-11 21:54:51,0.001s,PASSED
"println(""***************************************"")",,,,2019-09-11 21:54:51,2019-09-11 21:54:51,0.001s,PASSED
"println(""UNIQ TOKEN ID IS GENARATED  = "" + uniquetoken)",,,,2019-09-11 21:54:51,2019-09-11 21:54:51,0.006s,PASSED
"println(""***************************************"")",,,,2019-09-11 21:54:51,2019-09-11 21:54:51,0.002s,PASSED
,,,,,,,
Test Cases/aValidate_OTPTest,,,,2019-09-11 21:54:51,2019-09-11 21:54:53,1.827s,PASSED
"sendRequestAndVerify(findTestObject(""avalidate_OTP"", [""uniqueToken"":uniquetoken, ""userId"":userid]))",,,,2019-09-11 21:54:51,2019-09-11 21:54:52,0.701s,PASSED
