Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SMARTINDONASIA_API_SmokeTest,,,,2019-09-09 15:31:32,2019-09-09 15:31:41,9.014s,INCOMPLETE
,,,,,,,
Test Cases/aValidateMobileNumberTest,,,,2019-09-09 15:31:32,2019-09-09 15:31:36,3.634s,PASSED
"response = sendRequestAndVerify(findTestObject(""avalidate_mobile_number""))",,,,2019-09-09 15:31:33,2019-09-09 15:31:36,3.112s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,2019-09-09 15:31:36,2019-09-09 15:31:36,0.001s,PASSED
result = slurper.parseText(response.getResponseText()),,,,2019-09-09 15:31:36,2019-09-09 15:31:36,0.022s,PASSED
"println(""***************************************"")",,,,2019-09-09 15:31:36,2019-09-09 15:31:36,0.012s,PASSED
"println(""THIS IS THE RESPONSE FROM VALIDATEMOBILENUMBER TEST CASE = "" + result)",,,,2019-09-09 15:31:36,2019-09-09 15:31:36,0.000s,PASSED
"println(""***************************************"")",,,,2019-09-09 15:31:36,2019-09-09 15:31:36,0.001s,PASSED
value = uniqueTokenCode,,,,2019-09-09 15:31:36,2019-09-09 15:31:36,0.001s,PASSED
println(value),,,,2019-09-09 15:31:36,2019-09-09 15:31:36,0.000s,PASSED
uniquetoken = value,,,,2019-09-09 15:31:36,2019-09-09 15:31:36,0.001s,PASSED
"println(""***************************************"")",,,,2019-09-09 15:31:36,2019-09-09 15:31:36,0.020s,PASSED
"println(""UNIQ TOKEN ID IS GENARATED  = "" + uniquetoken)",,,,2019-09-09 15:31:36,2019-09-09 15:31:36,0.010s,PASSED
"println(""***************************************"")",,,,2019-09-09 15:31:36,2019-09-09 15:31:36,0.000s,PASSED
,,,,,,,
Test Cases/bValidate_OTPTest,,,,2019-09-09 15:31:36,2019-09-09 15:31:38,2.469s,PASSED
"sendRequestAndVerify(findTestObject(""bvalidate_OTP"", [""uniqueToken"":uniquetoken, ""userId"":userid]))",,,,2019-09-09 15:31:36,2019-09-09 15:31:37,0.780s,PASSED
"response1 = sendRequestAndVerify(findTestObject(""avalidate_mobile_number""))",,,,2019-09-09 15:31:37,2019-09-09 15:31:38,1.337s,PASSED
slurper1 = new groovy.json.JsonSlurper(),,,,2019-09-09 15:31:38,2019-09-09 15:31:38,0.000s,PASSED
result1 = slurper1.parseText(response1.getResponseText()),,,,2019-09-09 15:31:38,2019-09-09 15:31:38,0.000s,PASSED
"println(""***************************************"")",,,,2019-09-09 15:31:38,2019-09-09 15:31:38,0.000s,PASSED
"println(""THIS IS THE RESPONSE FROM VALIDATEOTP TEST CASE = "" + result1)",,,,2019-09-09 15:31:38,2019-09-09 15:31:38,0.010s,PASSED
"println(""***************************************"")",,,,2019-09-09 15:31:38,2019-09-09 15:31:38,0.000s,PASSED
value1 = userId,,,,2019-09-09 15:31:38,2019-09-09 15:31:38,0.000s,PASSED
userid = value1,,,,2019-09-09 15:31:38,2019-09-09 15:31:38,0.000s,PASSED
"println(""***************************************"")",,,,2019-09-09 15:31:38,2019-09-09 15:31:38,0.000s,PASSED
"println(""THE USER ID IS GENARATED  = "" + userid)",,,,2019-09-09 15:31:38,2019-09-09 15:31:38,0.000s,PASSED
"println(""***************************************"")",,,,2019-09-09 15:31:38,2019-09-09 15:31:38,0.000s,PASSED
,,,,,,,
Test Cases/cInsertTripDetailsTest (MI),,,,2019-09-09 15:31:38,2019-09-09 15:31:40,1.848s,ERROR
"sendRequestAndVerify(findTestObject(""bvalidate_OTP"", [""uniqueToken"":uniquetoken, ""userId"":userid]))",,,,2019-09-09 15:31:39,2019-09-09 15:31:39,0.849s,PASSED
triPID = toString().toUpperCase(),,,,2019-09-09 15:31:39,2019-09-09 15:31:39,0.000s,PASSED
println(triPID),,,,2019-09-09 15:31:39,2019-09-09 15:31:39,0.000s,PASSED
now = new java.util.Date(),,,,2019-09-09 15:31:39,2019-09-09 15:31:39,0.010s,PASSED
"tiMe = now.format(""dd:MM:YYYY-HH:mm:ss +5:30"")",,,,2019-09-09 15:31:39,2019-09-09 15:31:39,0.010s,PASSED
println(tiMe),,,,2019-09-09 15:31:39,2019-09-09 15:31:39,0.000s,PASSED
"resp2 = sendRequestAndVerify(findTestObject(""bvalidate_OTP"", [""uniqueToken"":uniquetoken, ""userId"":userid]))",,,,2019-09-09 15:31:39,2019-09-09 15:31:40,0.645s,PASSED
slurper2 = new groovy.json.JsonSlurper(),,,,2019-09-09 15:31:40,2019-09-09 15:31:40,0.001s,PASSED
result2 = slurper2.parseText(resp2.getResponseText()),,,,2019-09-09 15:31:40,2019-09-09 15:31:40,0.001s,PASSED
,,,,,,,
Test Cases/dUpdateTripDetails,,,,2019-09-09 15:31:40,2019-09-09 15:31:41,0.667s,PASSED
file1 = new java.io.File(D:\InsertTripDetails_ID.txt),,,,2019-09-09 15:31:40,2019-09-09 15:31:40,0.001s,PASSED
triPID = file1.readLines(),,,,2019-09-09 15:31:40,2019-09-09 15:31:40,0.021s,PASSED
"println(""-------------->"" + triPID)",,,,2019-09-09 15:31:40,2019-09-09 15:31:40,0.000s,PASSED
"sendRequest(findTestObject(""bvalidate_OTP"", [""uniqueToken"":uniquetoken, ""userId"":userid]))",,,,2019-09-09 15:31:40,2019-09-09 15:31:41,0.254s,PASSED
"sendRequest(findTestObject(""update_trip_detail"", [""uptripiD"":uptripiD, ""userId"":userid]))",,,,2019-09-09 15:31:41,2019-09-09 15:31:41,0.178s,PASSED
