Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SMARTINDONASIA_API_SmokeTest,,,,2019-09-18 16:56:51,2019-09-18 16:57:27,35.747s,INCOMPLETE
,,,,,,,
Test Cases/a.ValidateMobileNumber_Test,,,,2019-09-18 16:56:52,2019-09-18 16:56:57,5.507s,FAILED
"response = sendRequestAndVerify(findTestObject(""aValidate Mobile Number""))",,,,2019-09-18 16:56:52,2019-09-18 16:56:57,4.678s,FAILED
,,,,,,,
Test Cases/aValidate_OTPTest,,,,2019-09-18 16:56:57,2019-09-18 16:57:00,2.310s,FAILED
"sendRequestAndVerify(findTestObject(""aValidate OTP"", [""uniqueToken"":uniquetoken, ""userId"":userid]))",,,,2019-09-18 16:56:58,2019-09-18 16:56:59,0.868s,PASSED
"response1 = sendRequestAndVerify(findTestObject(""aValidate Mobile Number""))",,,,2019-09-18 16:56:59,2019-09-18 16:56:59,0.771s,FAILED
,,,,,,,
Test Cases/bInsertUser_CheckInTest,,,,2019-09-18 16:57:00,2019-09-18 16:57:00,0.841s,ERROR
chkInID = toString().toUpperCase(),,,,2019-09-18 16:57:00,2019-09-18 16:57:00,0.008s,PASSED
println(chkInID),,,,2019-09-18 16:57:00,2019-09-18 16:57:00,0.005s,PASSED
now = new java.util.Date(),,,,2019-09-18 16:57:00,2019-09-18 16:57:00,0.009s,PASSED
"chkInTime = now.format(""dd-MM-YYYY HH:mm:ss +5:30"")",,,,2019-09-18 16:57:00,2019-09-18 16:57:00,0.006s,PASSED
println(chkInTime),,,,2019-09-18 16:57:00,2019-09-18 16:57:00,0.008s,PASSED
"resp3 = sendRequest(findTestObject(""bInsert User CheckIn"", [""uniqueToken"":uniquetoken, ""userId"":userid, ""checkInTime"":chkInTime, ""checkInID"":chkInID, ""checkinLocality"":checkinLocality]))",,,,2019-09-18 16:57:00,2019-09-18 16:57:00,0.394s,PASSED
slurper3 = new groovy.json.JsonSlurper(),,,,2019-09-18 16:57:00,2019-09-18 16:57:00,0.001s,PASSED
result3 = slurper3.parseText(resp3.getResponseText()),,,,2019-09-18 16:57:00,2019-09-18 16:57:00,0.013s,PASSED
,,,,,,,
Test Cases/bUpdateUser_CheckInTest,,,,2019-09-18 16:57:01,2019-09-18 16:57:02,1.173s,PASSED
file3 = new java.io.File(D:\Checkin_ID.txt),,,,2019-09-18 16:57:01,2019-09-18 16:57:01,0.001s,PASSED
checkinID = file3.readLines(),,,,2019-09-18 16:57:01,2019-09-18 16:57:01,0.060s,PASSED
"println(""-------------->"" + checkinID)",,,,2019-09-18 16:57:01,2019-09-18 16:57:01,0.011s,PASSED
now1 = new java.util.Date(),,,,2019-09-18 16:57:01,2019-09-18 16:57:01,0.000s,PASSED
"chkOutTime = now1.format(""dd-MM-YYYY HH:mm:ss +5:30"")",,,,2019-09-18 16:57:01,2019-09-18 16:57:01,0.000s,PASSED
println(chkOutTime),,,,2019-09-18 16:57:01,2019-09-18 16:57:01,0.000s,PASSED
"resp4 = sendRequest(findTestObject(""bUpdate User CheckIn"", [""uniqueToken"":uniquetoken, ""userId"":userid, ""checkinID"":checkinID, ""checkedOutTime"":chkOutTime]))",,,,2019-09-18 16:57:01,2019-09-18 16:57:02,0.713s,PASSED
,,,,,,,
Test Cases/cInsertTripDetails_Test,,,,2019-09-18 16:57:02,2019-09-18 16:57:03,1.263s,ERROR
"sendRequestAndVerify(findTestObject(""aValidate OTP"", [""uniqueToken"":uniquetoken, ""userId"":userid]))",,,,2019-09-18 16:57:02,2019-09-18 16:57:03,0.621s,PASSED
triPID = toString().toUpperCase(),,,,2019-09-18 16:57:03,2019-09-18 16:57:03,0.000s,PASSED
println(triPID),,,,2019-09-18 16:57:03,2019-09-18 16:57:03,0.000s,PASSED
now = new java.util.Date(),,,,2019-09-18 16:57:03,2019-09-18 16:57:03,0.000s,PASSED
"tiMe = now.format(""dd-MM-YYYY HH:mm:ss +5:30"")",,,,2019-09-18 16:57:03,2019-09-18 16:57:03,0.000s,PASSED
println(tiMe),,,,2019-09-18 16:57:03,2019-09-18 16:57:03,0.010s,PASSED
"resp2 = sendRequest(findTestObject(""cInsert Trip Detail"", [""uniqueToken"":uniquetoken, ""userId"":userid, ""tripid"":triPID, ""startriptime"":tiMe, ""startripLocality"":startripLocality]))",,,,2019-09-18 16:57:03,2019-09-18 16:57:03,0.247s,PASSED
slurper2 = new groovy.json.JsonSlurper(),,,,2019-09-18 16:57:03,2019-09-18 16:57:03,0.004s,PASSED
result2 = slurper2.parseText(resp2.getResponseText()),,,,2019-09-18 16:57:03,2019-09-18 16:57:03,0.001s,PASSED
,,,,,,,
Test Cases/cUpdateTripDetails_Test,,,,2019-09-18 16:57:03,2019-09-18 16:57:04,0.755s,PASSED
file1 = new java.io.File(D:\InsertTripDetails_ID.txt),,,,2019-09-18 16:57:03,2019-09-18 16:57:03,0.001s,PASSED
triPID = file1.readLines(),,,,2019-09-18 16:57:03,2019-09-18 16:57:03,0.023s,PASSED
"println(""-------------->"" + triPID)",,,,2019-09-18 16:57:03,2019-09-18 16:57:03,0.004s,PASSED
"sendRequest(findTestObject(""aValidate OTP"", [""uniqueToken"":uniquetoken, ""userId"":userid]))",,,,2019-09-18 16:57:03,2019-09-18 16:57:03,0.178s,PASSED
"sendRequest(findTestObject(""cUpdate Trip Detail"", [""uptripiD"":triPID, ""userId"":userid]))",,,,2019-09-18 16:57:03,2019-09-18 16:57:04,0.236s,PASSED
,,,,,,,
Test Cases/d.VersionMaster_Test,,,,2019-09-18 16:57:04,2019-09-18 16:57:05,1.132s,FAILED
"sendRequestAndVerify(findTestObject(""d.Version Master"", [""uniqueToken"":uniquetoken]))",,,,2019-09-18 16:57:04,2019-09-18 16:57:05,0.671s,FAILED
,,,,,,,
Test Cases/dLeaveType_Test,,,,2019-09-18 16:57:05,2019-09-18 16:57:06,1.276s,FAILED
