Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SMARTINDONASIA_API_SmokeTest,,,,2019-09-26 20:53:46,2019-09-26 20:54:34,48.663s,INCOMPLETE
,,,,,,,
Test Cases/a.ValidateMobileNumber_Test,,,,2019-09-26 20:53:46,2019-09-26 20:53:49,3.207s,PASSED
"sendRequest(findTestObject(""aValidate Mobile Number"", [""protocal"":Endpoint]))",,,,2019-09-26 20:53:47,2019-09-26 20:53:48,1.770s,PASSED
"response = sendRequestAndVerify(findTestObject(""aValidate Mobile Number"", [""protocal"":Endpoint]))",,,,2019-09-26 20:53:48,2019-09-26 20:53:49,0.979s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,2019-09-26 20:53:49,2019-09-26 20:53:49,0.001s,PASSED
result = slurper.parseText(response.getResponseText()),,,,2019-09-26 20:53:49,2019-09-26 20:53:49,0.022s,PASSED
"println(""***************************************"")",,,,2019-09-26 20:53:49,2019-09-26 20:53:49,0.000s,PASSED
"println(""THIS IS THE RESPONSE FROM VALIDATEMOBILENUMBER TEST CASE = "" + result)",,,,2019-09-26 20:53:49,2019-09-26 20:53:49,0.013s,PASSED
"println(""***************************************"")",,,,2019-09-26 20:53:49,2019-09-26 20:53:49,0.000s,PASSED
value = uniqueTokenCode,,,,2019-09-26 20:53:49,2019-09-26 20:53:49,0.010s,PASSED
println(value),,,,2019-09-26 20:53:49,2019-09-26 20:53:49,0.000s,PASSED
uniquetoken = value,,,,2019-09-26 20:53:49,2019-09-26 20:53:49,0.000s,PASSED
"println(""***************************************"")",,,,2019-09-26 20:53:49,2019-09-26 20:53:49,0.001s,PASSED
"println(""UNIQ TOKEN ID IS GENARATED  = "" + uniquetoken)",,,,2019-09-26 20:53:49,2019-09-26 20:53:49,0.000s,PASSED
"println(""***************************************"")",,,,2019-09-26 20:53:49,2019-09-26 20:53:49,0.000s,PASSED
,,,,,,,
Test Cases/aValidate_OTPTest,,,,2019-09-26 20:53:49,2019-09-26 20:53:50,0.717s,PASSED
