Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SMARTINDONASIA_API_SmokeTest,,,,2019-09-09 21:35:19,2019-09-09 21:35:27,7.593s,INCOMPLETE
,,,,,,,
Test Cases/a.ValidateMobileNumberTest,,,,2019-09-09 21:35:20,2019-09-09 21:35:23,3.725s,PASSED
"response = sendRequestAndVerify(findTestObject(""avalidate_mobile_number""))",,,,2019-09-09 21:35:20,2019-09-09 21:35:23,3.183s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,2019-09-09 21:35:23,2019-09-09 21:35:23,0.009s,PASSED
result = slurper.parseText(response.getResponseText()),,,,2019-09-09 21:35:23,2019-09-09 21:35:23,0.022s,PASSED
"println(""***************************************"")",,,,2019-09-09 21:35:23,2019-09-09 21:35:23,0.007s,PASSED
"println(""THIS IS THE RESPONSE FROM VALIDATEMOBILENUMBER TEST CASE = "" + result)",,,,2019-09-09 21:35:23,2019-09-09 21:35:23,0.005s,PASSED
"println(""***************************************"")",,,,2019-09-09 21:35:23,2019-09-09 21:35:23,0.006s,PASSED
value = uniqueTokenCode,,,,2019-09-09 21:35:23,2019-09-09 21:35:23,0.030s,PASSED
println(value),,,,2019-09-09 21:35:23,2019-09-09 21:35:23,0.001s,PASSED
uniquetoken = value,,,,2019-09-09 21:35:23,2019-09-09 21:35:23,0.002s,PASSED
"println(""***************************************"")",,,,2019-09-09 21:35:23,2019-09-09 21:35:23,0.002s,PASSED
"println(""UNIQ TOKEN ID IS GENARATED  = "" + uniquetoken)",,,,2019-09-09 21:35:23,2019-09-09 21:35:23,0.002s,PASSED
"println(""***************************************"")",,,,2019-09-09 21:35:23,2019-09-09 21:35:23,0.002s,PASSED
,,,,,,,
Test Cases/aValidate_OTPTest,,,,2019-09-09 21:35:23,2019-09-09 21:35:25,1.995s,PASSED
"sendRequestAndVerify(findTestObject(""avalidate_OTP"", [""uniqueToken"":uniquetoken, ""userId"":userid]))",,,,2019-09-09 21:35:24,2019-09-09 21:35:25,0.815s,PASSED
"response1 = sendRequestAndVerify(findTestObject(""avalidate_mobile_number""))",,,,2019-09-09 21:35:25,2019-09-09 21:35:25,0.825s,PASSED
slurper1 = new groovy.json.JsonSlurper(),,,,2019-09-09 21:35:25,2019-09-09 21:35:25,0.001s,PASSED
result1 = slurper1.parseText(response1.getResponseText()),,,,2019-09-09 21:35:25,2019-09-09 21:35:25,0.001s,PASSED
"println(""***************************************"")",,,,2019-09-09 21:35:25,2019-09-09 21:35:25,0.001s,PASSED
"println(""THIS IS THE RESPONSE FROM VALIDATEOTP TEST CASE = "" + result1)",,,,2019-09-09 21:35:25,2019-09-09 21:35:25,0.002s,PASSED
"println(""***************************************"")",,,,2019-09-09 21:35:25,2019-09-09 21:35:25,0.001s,PASSED
value1 = userId,,,,2019-09-09 21:35:25,2019-09-09 21:35:25,0.001s,PASSED
userid = value1,,,,2019-09-09 21:35:25,2019-09-09 21:35:25,0.001s,PASSED
"println(""***************************************"")",,,,2019-09-09 21:35:25,2019-09-09 21:35:25,0.001s,PASSED
"println(""THE USER ID IS GENARATED  = "" + userid)",,,,2019-09-09 21:35:25,2019-09-09 21:35:25,0.001s,PASSED
"println(""***************************************"")",,,,2019-09-09 21:35:25,2019-09-09 21:35:25,0.000s,PASSED
,,,,,,,
Test Cases/bInsertUser_CheckIn,,,,2019-09-09 21:35:25,2019-09-09 21:35:26,0.909s,PASSED
chkInID = toString().toUpperCase(),,,,2019-09-09 21:35:26,2019-09-09 21:35:26,0.009s,PASSED
println(chkInID),,,,2019-09-09 21:35:26,2019-09-09 21:35:26,0.001s,PASSED
now = new java.util.Date(),,,,2019-09-09 21:35:26,2019-09-09 21:35:26,0.008s,PASSED
"chkInTime = now.format(""dd-MM-YYYY HH:mm:ss +5:30"")",,,,2019-09-09 21:35:26,2019-09-09 21:35:26,0.005s,PASSED
println(chkInTime),,,,2019-09-09 21:35:26,2019-09-09 21:35:26,0.001s,PASSED
"resp3 = sendRequest(findTestObject(""bInsertUserCheckIn"", [""uniqueToken"":uniquetoken, ""userId"":userid, ""checkInTime"":chkInTime, ""checkInID"":chkInID, ""checkinLocality"":checkinLocality]))",,,,2019-09-09 21:35:26,2019-09-09 21:35:26,0.376s,PASSED
slurper3 = new groovy.json.JsonSlurper(),,,,2019-09-09 21:35:26,2019-09-09 21:35:26,0.002s,PASSED
result3 = slurper3.parseText(resp3.getResponseText()),,,,2019-09-09 21:35:26,2019-09-09 21:35:26,0.005s,PASSED
"println(""***************************************
"")",,,,2019-09-09 21:35:26,2019-09-09 21:35:26,0.002s,PASSED
"println(""THIS IS THE RESPONSE FROM USER_CHECKIN TEST CASE = "" + result3)",,,,2019-09-09 21:35:26,2019-09-09 21:35:26,0.001s,PASSED
"println(""***************************************
"")",,,,2019-09-09 21:35:26,2019-09-09 21:35:26,0.001s,PASSED
"toString().split(chkInID, 0)",,,,2019-09-09 21:35:26,2019-09-09 21:35:26,0.009s,PASSED
"value3 = toString().substring(11, 47)",,,,2019-09-09 21:35:26,2019-09-09 21:35:26,0.013s,PASSED
println(value3),,,,2019-09-09 21:35:26,2019-09-09 21:35:26,0.052s,PASSED
"println(""THE CHECKIN  iD IS   = "" + value3)",,,,2019-09-09 21:35:26,2019-09-09 21:35:26,0.001s,PASSED
f = new java.io.File(D:\Checkin_ID.txt),,,,2019-09-09 21:35:26,2019-09-09 21:35:26,0.002s,PASSED
f.write(value3),,,,2019-09-09 21:35:26,2019-09-09 21:35:26,0.005s,PASSED
,,,,,,,
Test Cases/bUpdateUser_CheckIn,,,,2019-09-09 21:35:26,2019-09-09 21:35:27,0.513s,PASSED
file1 = new java.io.File(D:\InsertTripDetails_ID.txt),,,,2019-09-09 21:35:27,2019-09-09 21:35:27,0.001s,PASSED
checkinID = file1.readLines(),,,,2019-09-09 21:35:27,2019-09-09 21:35:27,0.008s,PASSED
"println(""-------------->"" + checkinID)",,,,2019-09-09 21:35:27,2019-09-09 21:35:27,0.000s,PASSED
now = new java.util.Date(),,,,2019-09-09 21:35:27,2019-09-09 21:35:27,0.000s,PASSED
"chkOutTime = now.format(""dd-MM-YYYY HH:mm:ss +5:30"")",,,,2019-09-09 21:35:27,2019-09-09 21:35:27,0.001s,PASSED
println(chkOutTime),,,,2019-09-09 21:35:27,2019-09-09 21:35:27,0.001s,PASSED
"resp4 = sendRequest(findTestObject(""bUpdateUserCheckIn"", [""uniqueToken"":uniquetoken, ""userId"":userid, ""checkinID"":checkinID, ""checkedOutTime"":chkOutTime]))",,,,2019-09-09 21:35:27,2019-09-09 21:35:27,0.235s,PASSED
