Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SMARTINDONASIA_API_SmokeTest,,,,2019-09-12 19:59:10,2019-09-12 19:59:33,22.416s,INCOMPLETE
,,,,,,,
Test Cases/a.ValidateMobileNumberTest,,,,2019-09-12 19:59:11,2019-09-12 19:59:15,4.669s,PASSED
"response = sendRequestAndVerify(findTestObject(""avalidate_mobile_number""))",,,,2019-09-12 19:59:11,2019-09-12 19:59:15,4.201s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,2019-09-12 19:59:15,2019-09-12 19:59:15,0.010s,PASSED
result = slurper.parseText(response.getResponseText()),,,,2019-09-12 19:59:15,2019-09-12 19:59:15,0.022s,PASSED
"println(""***************************************"")",,,,2019-09-12 19:59:15,2019-09-12 19:59:15,0.007s,PASSED
"println(""THIS IS THE RESPONSE FROM VALIDATEMOBILENUMBER TEST CASE = "" + result)",,,,2019-09-12 19:59:15,2019-09-12 19:59:15,0.007s,PASSED
"println(""***************************************"")",,,,2019-09-12 19:59:15,2019-09-12 19:59:15,0.005s,PASSED
value = uniqueTokenCode,,,,2019-09-12 19:59:15,2019-09-12 19:59:15,0.026s,PASSED
println(value),,,,2019-09-12 19:59:15,2019-09-12 19:59:15,0.001s,PASSED
uniquetoken = value,,,,2019-09-12 19:59:15,2019-09-12 19:59:15,0.002s,PASSED
"println(""***************************************"")",,,,2019-09-12 19:59:15,2019-09-12 19:59:15,0.001s,PASSED
"println(""UNIQ TOKEN ID IS GENARATED  = "" + uniquetoken)",,,,2019-09-12 19:59:15,2019-09-12 19:59:15,0.002s,PASSED
"println(""***************************************"")",,,,2019-09-12 19:59:15,2019-09-12 19:59:15,0.002s,PASSED
,,,,,,,
Test Cases/aValidate_OTPTest,,,,2019-09-12 19:59:15,2019-09-12 19:59:17,1.814s,PASSED
"sendRequestAndVerify(findTestObject(""avalidate_OTP"", [""uniqueToken"":uniquetoken, ""userId"":userid]))",,,,2019-09-12 19:59:16,2019-09-12 19:59:17,0.788s,PASSED
"response1 = sendRequestAndVerify(findTestObject(""avalidate_mobile_number""))",,,,2019-09-12 19:59:17,2019-09-12 19:59:17,0.692s,PASSED
