Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SMARTINDONASIA_API_SmokeTest,,,,2019-09-09 21:16:08,2019-09-09 21:16:14,6.162s,INCOMPLETE
,,,,,,,
Test Cases/a.ValidateMobileNumberTest,,,,2019-09-09 21:16:09,2019-09-09 21:16:12,3.412s,PASSED
"response = sendRequestAndVerify(findTestObject(""avalidate_mobile_number""))",,,,2019-09-09 21:16:09,2019-09-09 21:16:12,2.896s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,2019-09-09 21:16:12,2019-09-09 21:16:12,0.011s,PASSED
result = slurper.parseText(response.getResponseText()),,,,2019-09-09 21:16:12,2019-09-09 21:16:12,0.022s,PASSED
"println(""***************************************"")",,,,2019-09-09 21:16:12,2019-09-09 21:16:12,0.005s,PASSED
"println(""THIS IS THE RESPONSE FROM VALIDATEMOBILENUMBER TEST CASE = "" + result)",,,,2019-09-09 21:16:12,2019-09-09 21:16:12,0.004s,PASSED
"println(""***************************************"")",,,,2019-09-09 21:16:12,2019-09-09 21:16:12,0.002s,PASSED
value = uniqueTokenCode,,,,2019-09-09 21:16:12,2019-09-09 21:16:12,0.007s,PASSED
println(value),,,,2019-09-09 21:16:12,2019-09-09 21:16:12,0.001s,PASSED
uniquetoken = value,,,,2019-09-09 21:16:12,2019-09-09 21:16:12,0.002s,PASSED
"println(""***************************************"")",,,,2019-09-09 21:16:12,2019-09-09 21:16:12,0.001s,PASSED
"println(""UNIQ TOKEN ID IS GENARATED  = "" + uniquetoken)",,,,2019-09-09 21:16:12,2019-09-09 21:16:12,0.003s,PASSED
"println(""***************************************"")",,,,2019-09-09 21:16:12,2019-09-09 21:16:12,0.002s,PASSED
,,,,,,,
Test Cases/aValidate_OTPTest,,,,2019-09-09 21:16:12,2019-09-09 21:16:14,1.705s,PASSED
"sendRequestAndVerify(findTestObject(""avalidate_OTP"", [""uniqueToken"":uniquetoken, ""userId"":userid]))",,,,2019-09-09 21:16:12,2019-09-09 21:16:13,0.628s,PASSED
"response1 = sendRequestAndVerify(findTestObject(""avalidate_mobile_number""))",,,,2019-09-09 21:16:13,2019-09-09 21:16:14,0.766s,PASSED
slurper1 = new groovy.json.JsonSlurper(),,,,2019-09-09 21:16:14,2019-09-09 21:16:14,0.000s,PASSED
result1 = slurper1.parseText(response1.getResponseText()),,,,2019-09-09 21:16:14,2019-09-09 21:16:14,0.001s,PASSED
"println(""***************************************"")",,,,2019-09-09 21:16:14,2019-09-09 21:16:14,0.001s,PASSED
"println(""THIS IS THE RESPONSE FROM VALIDATEOTP TEST CASE = "" + result1)",,,,2019-09-09 21:16:14,2019-09-09 21:16:14,0.001s,PASSED
"println(""***************************************"")",,,,2019-09-09 21:16:14,2019-09-09 21:16:14,0.001s,PASSED
value1 = userId,,,,2019-09-09 21:16:14,2019-09-09 21:16:14,0.001s,PASSED
userid = value1,,,,2019-09-09 21:16:14,2019-09-09 21:16:14,0.001s,PASSED
"println(""***************************************"")",,,,2019-09-09 21:16:14,2019-09-09 21:16:14,0.001s,PASSED
"println(""THE USER ID IS GENARATED  = "" + userid)",,,,2019-09-09 21:16:14,2019-09-09 21:16:14,0.001s,PASSED
"println(""***************************************"")",,,,2019-09-09 21:16:14,2019-09-09 21:16:14,0.000s,PASSED
,,,,,,,
Test Cases/bUpdateUser_CheckIn,,,,2019-09-09 21:16:14,2019-09-09 21:16:14,0.652s,ERROR
file1 = new java.io.File(D:\InsertTripDetails_ID.txt),,,,2019-09-09 21:16:14,2019-09-09 21:16:14,0.001s,PASSED
checkinID = file1.readLines(),,,,2019-09-09 21:16:14,2019-09-09 21:16:14,0.011s,PASSED
"println(""-------------->"" + checkinID)",,,,2019-09-09 21:16:14,2019-09-09 21:16:14,0.002s,PASSED
now = new java.util.Date(),,,,2019-09-09 21:16:14,2019-09-09 21:16:14,0.007s,PASSED
"chkOutTime = now.format(""dd-MM-YYYY HH:mm:ss +5:30"")",,,,2019-09-09 21:16:14,2019-09-09 21:16:14,0.004s,PASSED
println(chkOutTime),,,,2019-09-09 21:16:14,2019-09-09 21:16:14,0.001s,PASSED
"resp4 = sendRequest(findTestObject(""bUpdateUserCheckIn"", [""uniqueToken"":uniquetoken, ""userId"":userid, ""checkinID"":checkinID, ""checkedOutTime"":chkOutTime]))",,,,2019-09-09 21:16:14,2019-09-09 21:16:14,0.271s,PASSED
slurper4 = new groovy.json.JsonSlurper(),,,,2019-09-09 21:16:14,2019-09-09 21:16:14,0.001s,PASSED
result4 = slurper4.parseText(resp4.getResponseText()),,,,2019-09-09 21:16:14,2019-09-09 21:16:14,0.000s,PASSED
