Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SMARTINDONASIA_API_SmokeTest,,,,2019-09-04 23:34:55,2019-09-04 23:35:05,9.627s,INCOMPLETE
,,,,,,,
Test Cases/aValidateMobileNumberTest,,,,2019-09-04 23:34:56,2019-09-04 23:34:59,3.855s,PASSED
"response = sendRequestAndVerify(findTestObject(""avalidate_mobile_number""))",,,,2019-09-04 23:34:56,2019-09-04 23:34:59,3.367s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,2019-09-04 23:34:59,2019-09-04 23:34:59,0.020s,PASSED
result = slurper.parseText(response.getResponseText()),,,,2019-09-04 23:34:59,2019-09-04 23:34:59,0.022s,PASSED
"println(""***************************************"")",,,,2019-09-04 23:34:59,2019-09-04 23:34:59,0.010s,PASSED
"println(""THIS IS THE RESPONSE FROM VALIDATEMOBILENUMBER TEST CASE = "" + result)",,,,2019-09-04 23:34:59,2019-09-04 23:34:59,0.000s,PASSED
"println(""***************************************"")",,,,2019-09-04 23:34:59,2019-09-04 23:34:59,0.000s,PASSED
value = uniqueTokenCode,,,,2019-09-04 23:34:59,2019-09-04 23:34:59,0.010s,PASSED
println(value),,,,2019-09-04 23:34:59,2019-09-04 23:34:59,0.000s,PASSED
uniquetoken = value,,,,2019-09-04 23:34:59,2019-09-04 23:34:59,0.000s,PASSED
"println(""***************************************"")",,,,2019-09-04 23:34:59,2019-09-04 23:34:59,0.000s,PASSED
"println(""UNIQ TOKEN ID IS GENARATED  = "" + uniquetoken)",,,,2019-09-04 23:34:59,2019-09-04 23:34:59,0.010s,PASSED
"println(""***************************************"")",,,,2019-09-04 23:34:59,2019-09-04 23:34:59,0.000s,PASSED
,,,,,,,
Test Cases/bValidate_OTPTest,,,,2019-09-04 23:34:59,2019-09-04 23:35:02,2.232s,PASSED
"sendRequest(findTestObject(""bvalidate_OTP"", [""uniqueToken"":uniquetoken, ""userId"":userid]))",,,,2019-09-04 23:35:00,2019-09-04 23:35:00,0.731s,PASSED
"response1 = sendRequestAndVerify(findTestObject(""avalidate_mobile_number""))",,,,2019-09-04 23:35:00,2019-09-04 23:35:02,1.202s,PASSED
slurper1 = new groovy.json.JsonSlurper(),,,,2019-09-04 23:35:02,2019-09-04 23:35:02,0.001s,PASSED
result1 = slurper1.parseText(response1.getResponseText()),,,,2019-09-04 23:35:02,2019-09-04 23:35:02,0.001s,PASSED
"println(""***************************************"")",,,,2019-09-04 23:35:02,2019-09-04 23:35:02,0.001s,PASSED
"println(""THIS IS THE RESPONSE FROM VALIDATEOTP TEST CASE = "" + result1)",,,,2019-09-04 23:35:02,2019-09-04 23:35:02,0.001s,PASSED
"println(""***************************************"")",,,,2019-09-04 23:35:02,2019-09-04 23:35:02,0.001s,PASSED
value1 = userId,,,,2019-09-04 23:35:02,2019-09-04 23:35:02,0.001s,PASSED
userid = value1,,,,2019-09-04 23:35:02,2019-09-04 23:35:02,0.001s,PASSED
"println(""***************************************"")",,,,2019-09-04 23:35:02,2019-09-04 23:35:02,0.001s,PASSED
"println(""THE USER ID IS GENARATED  = "" + userid)",,,,2019-09-04 23:35:02,2019-09-04 23:35:02,0.001s,PASSED
"println(""***************************************"")",,,,2019-09-04 23:35:02,2019-09-04 23:35:02,0.001s,PASSED
,,,,,,,
Test Cases/cInsertTripDetailsTest (MI),,,,2019-09-04 23:35:02,2019-09-04 23:35:05,3.167s,ERROR
"sendRequest(findTestObject(""bvalidate_OTP"", [""uniqueToken"":uniquetoken, ""userId"":userid]))",,,,2019-09-04 23:35:02,2019-09-04 23:35:03,0.705s,PASSED
triPID = toString().toUpperCase(),,,,2019-09-04 23:35:03,2019-09-04 23:35:03,0.010s,PASSED
println(triPID),,,,2019-09-04 23:35:03,2019-09-04 23:35:03,0.000s,PASSED
now = new java.util.Date(),,,,2019-09-04 23:35:03,2019-09-04 23:35:03,0.001s,PASSED
"tiMe = now.format(""dd:MM:YYYY-HH:mm:ss +5:30"")",,,,2019-09-04 23:35:03,2019-09-04 23:35:03,0.020s,PASSED
println(tiMe),,,,2019-09-04 23:35:03,2019-09-04 23:35:03,0.000s,PASSED
"resp2 = sendRequest(findTestObject(""insert_trip_detail"", [""uniqueToken"":uniquetoken, ""userId"":userid, ""tripid"":triPID, ""startriptime"":tiMe, ""startripLocality"":startripLocality]))",,,,2019-09-04 23:35:03,2019-09-04 23:35:03,0.707s,PASSED
slurper2 = new groovy.json.JsonSlurper(),,,,2019-09-04 23:35:03,2019-09-04 23:35:03,0.000s,PASSED
result2 = slurper2.parseText(resp2.getResponseText()),,,,2019-09-04 23:35:03,2019-09-04 23:35:03,0.000s,PASSED
"println(""***************************************
"")",,,,2019-09-04 23:35:03,2019-09-04 23:35:03,0.000s,PASSED
"println(""THIS IS THE RESPONSE FROM INSERT TRIP DETAILS  TEST CASE = "" + result2)",,,,2019-09-04 23:35:03,2019-09-04 23:35:03,0.001s,PASSED
"println(""***************************************
"")",,,,2019-09-04 23:35:03,2019-09-04 23:35:03,0.000s,PASSED
"toString().split(triPID, 0)",,,,2019-09-04 23:35:03,2019-09-04 23:35:03,0.000s,PASSED
"value2 = toString().substring(25, 61)",,,,2019-09-04 23:35:03,2019-09-04 23:35:03,0.000s,PASSED
println(value2),,,,2019-09-04 23:35:03,2019-09-04 23:35:03,0.000s,PASSED
"println(""THE TRIP iD IS   = "" + value2)",,,,2019-09-04 23:35:03,2019-09-04 23:35:03,0.000s,PASSED
"sendRequest(findTestObject(""update_trip_detail"", [""tripiD"":triPID, ""userId"":userid]))",,,,2019-09-04 23:35:03,2019-09-04 23:35:04,0.696s,PASSED
"resp3 = sendRequest(findTestObject(""insert_trip_detail"", [""tripiD"":value2]))",,,,2019-09-04 23:35:04,2019-09-04 23:35:05,0.712s,PASSED
contentType.equals(value2),,,,2019-09-04 23:35:05,2019-09-04 23:35:05,0.030s,PASSED
"println(""***************************************"")",,,,2019-09-04 23:35:05,2019-09-04 23:35:05,0.000s,PASSED
"println(""THIS IS THE RESPONSE FROM UPDATE TRIP DETAILS TEST CASE = "" + result3)",,,,2019-09-04 23:35:05,2019-09-04 23:35:05,0.000s,PASSED
