Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SMARTINDONASIA_API_SmokeTest2,,,,2019-09-24 21:53:43,2019-09-24 21:53:49,6.380s,INCOMPLETE
,,,,,,,
Test Cases/a.ValidateMobileNumber_Test,,,,2019-09-24 21:53:43,2019-09-24 21:53:46,3.364s,PASSED
"sendRequest(findTestObject(""aValidate Mobile Number"", [""protocal"":Endpoint]))",,,,2019-09-24 21:53:43,2019-09-24 21:53:45,1.800s,PASSED
"response = sendRequestAndVerify(findTestObject(""aValidate Mobile Number"", [""protocal"":Endpoint]))",,,,2019-09-24 21:53:45,2019-09-24 21:53:46,1.057s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,2019-09-24 21:53:46,2019-09-24 21:53:46,0.010s,PASSED
result = slurper.parseText(response.getResponseText()),,,,2019-09-24 21:53:46,2019-09-24 21:53:46,0.010s,PASSED
"println(""***************************************"")",,,,2019-09-24 21:53:46,2019-09-24 21:53:46,0.001s,PASSED
"println(""THIS IS THE RESPONSE FROM VALIDATEMOBILENUMBER TEST CASE = "" + result)",,,,2019-09-24 21:53:46,2019-09-24 21:53:46,0.000s,PASSED
"println(""***************************************"")",,,,2019-09-24 21:53:46,2019-09-24 21:53:46,0.001s,PASSED
value = uniqueTokenCode,,,,2019-09-24 21:53:46,2019-09-24 21:53:46,0.008s,PASSED
println(value),,,,2019-09-24 21:53:46,2019-09-24 21:53:46,0.010s,PASSED
uniquetoken = value,,,,2019-09-24 21:53:46,2019-09-24 21:53:46,0.000s,PASSED
"println(""***************************************"")",,,,2019-09-24 21:53:46,2019-09-24 21:53:46,0.000s,PASSED
"println(""UNIQ TOKEN ID IS GENARATED  = "" + uniquetoken)",,,,2019-09-24 21:53:46,2019-09-24 21:53:46,0.000s,PASSED
"println(""***************************************"")",,,,2019-09-24 21:53:46,2019-09-24 21:53:46,0.000s,PASSED
,,,,,,,
Test Cases/aValidate_OTPTest,,,,2019-09-24 21:53:46,2019-09-24 21:53:47,0.819s,PASSED
"sendRequest(findTestObject(""aValidate OTP"", [""uniqueToken"":uniquetoken, ""userId"":userid]))",,,,2019-09-24 21:53:47,2019-09-24 21:53:47,0.230s,PASSED
"response1 = sendRequest(findTestObject(""aValidate Mobile Number""))",,,,2019-09-24 21:53:47,2019-09-24 21:53:47,0.287s,PASSED
slurper1 = new groovy.json.JsonSlurper(),,,,2019-09-24 21:53:47,2019-09-24 21:53:47,0.000s,PASSED
result1 = slurper1.parseText(responseBodyContent),,,,2019-09-24 21:53:47,2019-09-24 21:53:47,0.000s,PASSED
"println(""***************************************"")",,,,2019-09-24 21:53:47,2019-09-24 21:53:47,0.000s,PASSED
"println(""THIS IS THE RESPONSE FROM VALIDATEOTP TEST CASE = "" + result1)",,,,2019-09-24 21:53:47,2019-09-24 21:53:47,0.000s,PASSED
"println(""***************************************"")",,,,2019-09-24 21:53:47,2019-09-24 21:53:47,0.000s,PASSED
value1 = userId,,,,2019-09-24 21:53:47,2019-09-24 21:53:47,0.000s,PASSED
userid = value1,,,,2019-09-24 21:53:47,2019-09-24 21:53:47,0.000s,PASSED
"println(""***************************************"")",,,,2019-09-24 21:53:47,2019-09-24 21:53:47,0.000s,PASSED
"println(""THE USER ID IS GENARATED  = "" + userid)",,,,2019-09-24 21:53:47,2019-09-24 21:53:47,0.003s,PASSED
"println(""***************************************"")",,,,2019-09-24 21:53:47,2019-09-24 21:53:47,0.001s,PASSED
,,,,,,,
Test Cases/yMobileTracking_Test,,,,2019-09-24 21:53:47,2019-09-24 21:53:49,1.829s,FAILED
"sendRequest(findTestObject(""yMobile Tracking"", [""uniqueToken"":uniquetoken, ""userId"":userid, ""createdDatE"":createdDatE, ""ctiD"":ctiD, ""submittedDatE"":submittedDatE]))",,,,2019-09-24 21:53:48,2019-09-24 21:53:48,0.336s,PASSED
"responsey = sendRequestAndVerify(findTestObject(""yMobile Tracking"", [""uniqueToken"":uniquetoken, ""userId"":userid, ""createdDatE"":createdDatE, ""ctiD"":ctiD, ""submittedDatE"":submittedDatE]))",,,,2019-09-24 21:53:48,2019-09-24 21:53:49,0.981s,FAILED
