Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SMARTINDONASIA_API_SmokeTest,,,,2019-08-30 19:01:09,2019-08-30 19:01:21,12.005s,INCOMPLETE
,,,,,,,
Test Cases/aValidateMobileNumberTest,,,,2019-08-30 19:01:10,2019-08-30 19:01:17,7.636s,PASSED
"response = sendRequestAndVerify(findTestObject(""validate_mobile_number""))",,,,2019-08-30 19:01:10,2019-08-30 19:01:17,6.649s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,2019-08-30 19:01:17,2019-08-30 19:01:17,0.011s,PASSED
result = slurper.parseText(response.getResponseText()),,,,2019-08-30 19:01:17,2019-08-30 19:01:17,0.026s,PASSED
"println(""***************************************"")",,,,2019-08-30 19:01:17,2019-08-30 19:01:17,0.007s,PASSED
"println(""THIS IS THE RESPONSE FROM VALIDATEMOBILENUMBER TEST CASE = "" + result)",,,,2019-08-30 19:01:17,2019-08-30 19:01:17,0.008s,PASSED
"println(""***************************************"")",,,,2019-08-30 19:01:17,2019-08-30 19:01:17,0.006s,PASSED
value = uniqueTokenCode,,,,2019-08-30 19:01:17,2019-08-30 19:01:17,0.071s,PASSED
println(value),,,,2019-08-30 19:01:17,2019-08-30 19:01:17,0.003s,PASSED
uniquetoken = value,,,,2019-08-30 19:01:17,2019-08-30 19:01:17,0.003s,PASSED
"println(""***************************************"")",,,,2019-08-30 19:01:17,2019-08-30 19:01:17,0.002s,PASSED
"println(""UNIQ TOKEN ID IS GENARATED  = "" + uniquetoken)",,,,2019-08-30 19:01:17,2019-08-30 19:01:17,0.021s,PASSED
"println(""***************************************"")",,,,2019-08-30 19:01:17,2019-08-30 19:01:17,0.002s,PASSED
,,,,,,,
Test Cases/bValidate_OTPTest,,,,2019-08-30 19:01:17,2019-08-30 19:01:19,1.791s,PASSED
"sendRequest(findTestObject(""validate_OTP"", [""uniqueToken"":uniquetoken, ""userId"":userid]))",,,,2019-08-30 19:01:18,2019-08-30 19:01:18,0.379s,PASSED
"response1 = sendRequestAndVerify(findTestObject(""validate_mobile_number""))",,,,2019-08-30 19:01:18,2019-08-30 19:01:19,0.995s,PASSED
slurper1 = new groovy.json.JsonSlurper(),,,,2019-08-30 19:01:19,2019-08-30 19:01:19,0.001s,PASSED
result1 = slurper1.parseText(response1.getResponseText()),,,,2019-08-30 19:01:19,2019-08-30 19:01:19,0.001s,PASSED
